Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Central Latin America,0.257131,0.257637,0.258164,0.258779,0.2594,0.260085,0.260665,0.261119,0.261748,0.262414,0.262978,0.26386,0.26503,0.266376,0.267525,0.268484,0.269432,0.270799,0.272324,0.273921,0.275131,0.276315,0.277674,0.279233,0.280813,0.28256,0.284335,0.286315
Central Sub-Saharan Africa,0.117087,0.114955,0.1128,0.110897,0.109112,0.107595,0.105731,0.104003,0.102515,0.101191,0.100099,0.099822,0.09923,0.099087,0.098995,0.099638,0.099963,0.101198,0.102231,0.103548,0.104498,0.105572,0.106823,0.108566,0.110709,0.112837,0.115085,0.117588
Chad,0.103051,0.103378,0.103906,0.103955,0.103938,0.103864,0.103801,0.103418,0.103184,0.103094,0.102911,0.103318,0.104102,0.105324,0.106881,0.108164,0.109828,0.110871,0.112842,0.11409,0.115445,0.116408,0.117701,0.118883,0.119501,0.120668,0.121372,0.122129
Chile,0.302799,0.307654,0.312015,0.316493,0.321115,0.325281,0.329679,0.334094,0.338923,0.342981,0.346537,0.349739,0.353415,0.355963,0.359324,0.362414,0.366387,0.370711,0.375274,0.380199,0.385166,0.389265,0.39326,0.398024,0.402024,0.406375,0.411006,0.416123
China,0.085918,0.087021,0.088183,0.089405,0.09079,0.092207,0.093819,0.095771,0.09793,0.100177,0.10248,0.10475,0.107442,0.110203,0.113182,0.11611,0.119188,0.122403,0.125854,0.129427,0.132949,0.136489,0.140075,0.143961,0.147676,0.151513,0.155511,0.159588
Colombia,0.209751,0.210789,0.211634,0.212431,0.213249,0.214247,0.214839,0.215245,0.216008,0.216348,0.216957,0.21726,0.218515,0.219406,0.220617,0.221817,0.22324,0.225744,0.228528,0.231591,0.235014,0.237897,0.241137,0.244727,0.248564,0.252133,0.256028,0.260257
Comoros,0.116613,0.115817,0.115197,0.114321,0.113678,0.112896,0.112379,0.111777,0.111252,0.111224,0.110125,0.11026,0.110719,0.110854,0.111162,0.11124,0.110849,0.110574,0.110244,0.110218,0.109945,0.109981,0.109856,0.110158,0.110177,0.110298,0.110784,0.110911
Congo,0.148197,0.147395,0.146491,0.14553,0.1449,0.144368,0.144044,0.143134,0.142732,0.142056,0.141914,0.141812,0.142889,0.143734,0.144923,0.145722,0.146725,0.148339,0.150057,0.15139,0.152603,0.153732,0.155086,0.156227,0.157748,0.158622,0.160298,0.161675
Costa Rica,0.232201,0.233253,0.234441,0.235544,0.236982,0.237681,0.239149,0.240589,0.241943,0.243599,0.245249,0.247494,0.249178,0.251286,0.253327,0.255758,0.258018,0.260834,0.263408,0.266174,0.268952,0.27126,0.274112,0.276925,0.280282,0.283687,0.286636,0.289342
Cote d'Ivoire,0.133695,0.132407,0.130661,0.129949,0.128868,0.128669,0.128414,0.128402,0.128838,0.128533,0.128378,0.12809,0.12827,0.127799,0.127488,0.127147,0.127043,0.126595,0.126036,0.125684,0.12526,0.125465,0.126767,0.127799,0.12912,0.131672,0.133961,0.136217
Croatia,0.193321,0.189222,0.185927,0.183388,0.181908,0.181413,0.181687,0.182653,0.184188,0.185994,0.187397,0.189155,0.191231,0.19451,0.196991,0.199562,0.202308,0.205239,0.207747,0.210203,0.211972,0.213205,0.214553,0.215634,0.216748,0.21708,0.217599,0.217975
Cuba,0.236547,0.231708,0.227691,0.224335,0.221395,0.219317,0.217712,0.216184,0.214703,0.21399,0.21384,0.214536,0.216168,0.219003,0.22205,0.225154,0.228698,0.232986,0.238319,0.242274,0.246361,0.24934,0.25221,0.254452,0.257502,0.259617,0.261384,0.263159
Cyprus,0.421068,0.424622,0.428188,0.432448,0.435954,0.43946,0.444388,0.448009,0.452708,0.457358,0.461734,0.467293,0.472866,0.478806,0.485156,0.489927,0.49502,0.500641,0.505607,0.509725,0.510897,0.51099,0.510921,0.51119,0.510435,0.510185,0.509021,0.506721
Czech Republic,0.209832,0.208452,0.208121,0.207263,0.206748,0.206816,0.207116,0.208107,0.209388,0.210454,0.211636,0.212432,0.214417,0.21618,0.218239,0.22038,0.222426,0.225767,0.228476,0.231436,0.23355,0.234865,0.236274,0.237958,0.239664,0.240712,0.242033,0.242373
Democratic Republic of Congo,0.108355,0.105778,0.103174,0.100892,0.098553,0.096468,0.093878,0.091181,0.088949,0.086795,0.084954,0.084054,0.082594,0.081557,0.080538,0.080577,0.080038,0.080184,0.079919,0.080115,0.080054,0.080512,0.081381,0.082829,0.08488,0.087167,0.089474,0.092542
Denmark,0.482745,0.48259,0.482878,0.484274,0.485395,0.486922,0.48961,0.494647,0.499062,0.504424,0.508962,0.512803,0.517085,0.520713,0.523814,0.526998,0.529668,0.533105,0.535097,0.537621,0.538788,0.539633,0.539462,0.540073,0.540403,0.54071,0.540381,0.540025
Djibouti,0.136688,0.135239,0.133141,0.131453,0.129829,0.128255,0.127172,0.125948,0.124756,0.123704,0.12295,0.122863,0.122844,0.122677,0.122681,0.122933,0.123502,0.124243,0.124666,0.125515,0.126498,0.127398,0.128609,0.130042,0.131505,0.132901,0.134822,0.13666
Dominica,0.233313,0.234669,0.236339,0.238074,0.239838,0.241413,0.243206,0.244902,0.24684,0.248599,0.250375,0.252009,0.25287,0.253943,0.255027,0.256385,0.25848,0.261372,0.26434,0.267249,0.268947,0.270337,0.272025,0.273001,0.274203,0.275548,0.276527,0.277127
Dominican Republic,0.23101,0.23188,0.232955,0.2342,0.235975,0.236852,0.238807,0.242208,0.245641,0.249318,0.251802,0.253573,0.255369,0.256833,0.258577,0.260893,0.264153,0.267364,0.271145,0.274852,0.278553,0.281621,0.285472,0.288546,0.292275,0.296195,0.300106,0.303058
East Asia,0.087785,0.088906,0.090075,0.091289,0.092673,0.094083,0.095667,0.097568,0.099658,0.101822,0.104054,0.106253,0.10886,0.111539,0.114431,0.117286,0.120275,0.123398,0.126752,0.13023,0.133649,0.137092,0.140575,0.14435,0.147953,0.151683,0.155561,0.159511
Eastern Europe,0.206196,0.203872,0.201315,0.198757,0.19611,0.19332,0.189789,0.185175,0.180804,0.177383,0.176164,0.176777,0.178293,0.180238,0.182551,0.184816,0.187765,0.191563,0.19591,0.19979,0.202996,0.205397,0.207656,0.209889,0.21199,0.213883,0.215673,0.217029
Eastern Sub-Saharan Africa,0.098231,0.097405,0.096732,0.096113,0.095687,0.095494,0.095466,0.095529,0.095627,0.095818,0.096099,0.096511,0.097126,0.09791,0.098715,0.099572,0.100451,0.101475,0.102711,0.104055,0.105322,0.10658,0.107972,0.1094,0.110943,0.112506,0.114202,0.116033
Ecuador,0.302899,0.303024,0.302512,0.30255,0.302124,0.302434,0.30313,0.303455,0.304439,0.305501,0.306553,0.307779,0.309892,0.312814,0.31531,0.318205,0.320662,0.323504,0.327217,0.330934,0.334334,0.337751,0.341703,0.34601,0.350229,0.354659,0.359142,0.363733
Egypt,0.146335,0.147094,0.148294,0.149145,0.150091,0.151425,0.152995,0.154853,0.156789,0.159563,0.161223,0.162438,0.163917,0.165289,0.16649,0.167991,0.169878,0.172258,0.175279,0.17762,0.17969,0.181297,0.183548,0.185277,0.187085,0.189265,0.190609,0.192942
El Salvador,0.184312,0.186041,0.187018,0.188938,0.190429,0.192433,0.194226,0.197385,0.199902,0.202775,0.205388,0.207843,0.209373,0.211669,0.213524,0.215907,0.218638,0.220663,0.223092,0.225559,0.227828,0.229858,0.231869,0.234488,0.236998,0.239302,0.241685,0.243873
