Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Southeast Asia,0.10378,0.105216,0.10663,0.107941,0.109217,0.110292,0.111498,0.112675,0.11384,0.115013,0.116013,0.117067,0.118037,0.119145,0.120238,0.121275,0.122582,0.124193,0.125961,0.127722,0.129565,0.131478,0.13347,0.135728,0.138108,0.140474,0.143057,0.14565
"Southeast Asia, East Asia, and Oceania",0.09185,0.093077,0.094336,0.095601,0.096981,0.098333,0.09984,0.101562,0.103395,0.105285,0.107166,0.109024,0.11114,0.113337,0.115677,0.117979,0.12045,0.123101,0.125951,0.128874,0.131776,0.134697,0.137682,0.140934,0.144117,0.147361,0.15079,0.154266
Southern Latin America,0.317495,0.32113,0.324847,0.328796,0.33293,0.33663,0.34167,0.346724,0.352165,0.356687,0.359117,0.3597,0.360522,0.360163,0.360576,0.361698,0.363767,0.367606,0.372274,0.377687,0.3814,0.38472,0.388886,0.392229,0.396368,0.399998,0.403636,0.407336
Southern Sub-Saharan Africa,0.183132,0.18229,0.181635,0.181102,0.180856,0.180927,0.181109,0.181394,0.181681,0.181945,0.182547,0.183029,0.18389,0.185067,0.186055,0.186867,0.187719,0.188756,0.189831,0.190858,0.191497,0.192009,0.192727,0.193352,0.194306,0.194947,0.195599,0.196458
Spain,0.57438,0.582375,0.590314,0.597923,0.604526,0.611023,0.61661,0.622586,0.628657,0.635242,0.641094,0.646348,0.651692,0.657759,0.664298,0.670521,0.67939,0.69088,0.702688,0.712882,0.719542,0.723788,0.726458,0.729313,0.732196,0.733379,0.733354,0.730626
Sri Lanka,0.106287,0.107457,0.108438,0.109485,0.110951,0.11242,0.114277,0.115644,0.117706,0.11948,0.121112,0.122498,0.124201,0.125491,0.127251,0.128657,0.130167,0.132116,0.134149,0.13639,0.138608,0.141359,0.143861,0.146334,0.14954,0.152628,0.155748,0.159144
Sub-Saharan Africa,0.119056,0.117828,0.116722,0.115804,0.115103,0.114687,0.11432,0.114031,0.113845,0.113722,0.113703,0.114065,0.114713,0.115596,0.116624,0.117685,0.118788,0.120084,0.12157,0.123057,0.124243,0.125424,0.126741,0.128143,0.129654,0.131156,0.132613,0.13409
Sudan,0.113339,0.112885,0.112553,0.112925,0.112639,0.112699,0.112955,0.113672,0.114736,0.115776,0.116575,0.117881,0.119374,0.121075,0.122847,0.124585,0.126322,0.12809,0.130156,0.132055,0.134235,0.136002,0.137811,0.139432,0.141422,0.143413,0.144902,0.147025
Suriname,0.259084,0.256524,0.254419,0.253377,0.252379,0.251983,0.252464,0.253338,0.253442,0.254513,0.255846,0.257208,0.258993,0.261431,0.264648,0.267531,0.270606,0.274969,0.279361,0.283805,0.287534,0.290762,0.293688,0.297263,0.300467,0.303178,0.305583,0.307738
Swaziland,0.162693,0.164777,0.166395,0.168106,0.169933,0.170878,0.172115,0.173149,0.174363,0.175453,0.176184,0.17697,0.177608,0.178104,0.178575,0.179454,0.179941,0.180867,0.182063,0.182409,0.183707,0.18459,0.18498,0.1858,0.187107,0.187961,0.189076,0.189604
Sweden,0.475402,0.475117,0.47531,0.475543,0.476305,0.477199,0.480608,0.487225,0.495772,0.503802,0.509672,0.513224,0.516315,0.519966,0.523016,0.525851,0.529142,0.532454,0.536001,0.539912,0.543179,0.546754,0.55088,0.555076,0.559841,0.564692,0.569377,0.574608
Switzerland,0.52441,0.526078,0.529025,0.531215,0.533761,0.535762,0.538313,0.541911,0.544442,0.547168,0.548959,0.550014,0.549687,0.551173,0.552337,0.552386,0.553715,0.557832,0.561656,0.564658,0.56666,0.567972,0.569469,0.570145,0.571511,0.572819,0.573503,0.573969
Syria,0.132991,0.131594,0.130633,0.129874,0.129537,0.12955,0.12994,0.130786,0.131463,0.132592,0.133721,0.135566,0.138373,0.141127,0.144159,0.147022,0.150398,0.154168,0.157919,0.160506,0.16174,0.162079,0.162675,0.162463,0.162264,0.162179,0.160999,0.159349
Taiwan,0.169496,0.173219,0.177145,0.180376,0.184547,0.188196,0.191912,0.195654,0.199858,0.202992,0.206111,0.208852,0.21105,0.213656,0.215872,0.218203,0.220073,0.221842,0.223849,0.225849,0.227501,0.229505,0.231325,0.233199,0.234678,0.236865,0.238783,0.240476
Tajikistan,0.137233,0.134201,0.131363,0.127753,0.124541,0.120815,0.116365,0.111289,0.105965,0.101833,0.100226,0.100467,0.100825,0.10149,0.101748,0.102262,0.102652,0.104119,0.105849,0.107491,0.109359,0.110279,0.111492,0.113009,0.114296,0.115779,0.116935,0.118226
Tanzania,0.107486,0.106371,0.105375,0.10496,0.104235,0.104141,0.103784,0.104146,0.103943,0.104077,0.104416,0.10502,0.106004,0.107788,0.109206,0.110923,0.112181,0.11337,0.11482,0.116341,0.117753,0.11935,0.120698,0.122408,0.124353,0.125833,0.128102,0.129857
Thailand,0.121902,0.124876,0.128137,0.130918,0.133336,0.135625,0.137774,0.139434,0.141336,0.142587,0.143909,0.145571,0.146923,0.147995,0.149672,0.150724,0.152429,0.154636,0.156639,0.1586,0.160564,0.162663,0.164607,0.166388,0.168323,0.169914,0.1719,0.173202
Timor,0.078221,0.07938,0.080215,0.081468,0.082634,0.083322,0.084163,0.085094,0.085744,0.086504,0.087535,0.088113,0.088808,0.089383,0.089797,0.090745,0.093132,0.096897,0.101161,0.104916,0.106672,0.107436,0.108275,0.109507,0.1096,0.110612,0.110643,0.110934
Togo,0.108729,0.107621,0.10618,0.106061,0.105222,0.104919,0.104933,0.104819,0.104908,0.104869,0.104917,0.105071,0.10463,0.104345,0.103881,0.103811,0.103857,0.103442,0.103543,0.103037,0.102882,0.103011,0.103405,0.104169,0.104926,0.105883,0.107146,0.108107
Tonga,0.111709,0.1124,0.113349,0.114068,0.114656,0.115357,0.11578,0.116119,0.116687,0.117332,0.117656,0.118233,0.118994,0.120358,0.120744,0.121453,0.121684,0.121542,0.121934,0.122268,0.122418,0.122582,0.122967,0.123485,0.123964,0.124463,0.125487,0.125706
Trinidad and Tobago,0.299569,0.295051,0.290618,0.288268,0.286739,0.286063,0.287062,0.289078,0.292112,0.296901,0.300617,0.306029,0.312026,0.31967,0.327311,0.334546,0.343075,0.352414,0.361892,0.369773,0.375065,0.378484,0.381699,0.384127,0.386249,0.38821,0.389161,0.389696
Tropical Latin America,0.232292,0.233012,0.233865,0.234739,0.235779,0.236572,0.237651,0.239471,0.241373,0.242976,0.244263,0.245085,0.245888,0.246603,0.247551,0.248613,0.250215,0.252949,0.255996,0.259087,0.261598,0.263742,0.265994,0.268089,0.270093,0.272107,0.274052,0.275815
Tunisia,0.154293,0.155182,0.156625,0.15798,0.159107,0.160659,0.162318,0.164835,0.166781,0.169176,0.171203,0.172918,0.174536,0.1766,0.178565,0.180396,0.182689,0.185194,0.187278,0.189763,0.191282,0.192616,0.194311,0.195881,0.197054,0.198399,0.199433,0.200172
Turkey,0.213466,0.213853,0.214836,0.216415,0.218006,0.219473,0.224127,0.230443,0.238518,0.245626,0.250038,0.251977,0.254106,0.255902,0.25741,0.259274,0.261765,0.265131,0.269779,0.273843,0.277947,0.28175,0.285602,0.289922,0.294395,0.298953,0.304162,0.308941
Turkmenistan,0.165172,0.163379,0.161482,0.159245,0.157151,0.155085,0.152373,0.149223,0.145993,0.143699,0.142796,0.143519,0.144563,0.146872,0.149378,0.151826,0.154478,0.158366,0.162219,0.166676,0.171048,0.174792,0.178959,0.183104,0.187401,0.1918,0.196563,0.201477
Uganda,0.091927,0.092393,0.092868,0.093391,0.093724,0.094075,0.094613,0.09573,0.096672,0.097695,0.098775,0.099784,0.100537,0.101437,0.102665,0.104211,0.105355,0.106296,0.107981,0.109304,0.11098,0.112084,0.113393,0.114439,0.115764,0.117042,0.118044,0.119309
Ukraine,0.178687,0.176239,0.173192,0.170338,0.167324,0.164126,0.159959,0.154627,0.150045,0.146146,0.144893,0.145149,0.14642,0.147832,0.149728,0.151573,0.154081,0.156978,0.160751,0.163471,0.166079,0.167427,0.168717,0.169933,0.171129,0.171895,0.172673,0.172715
United Arab Emirates,0.297525,0.294119,0.291366,0.2889,0.287729,0.286819,0.286753,0.286588,0.286854,0.287217,0.287531,0.28809,0.289073,0.289831,0.290831,0.290944,0.28999,0.28118,0.27168,0.262274,0.260129,0.25959,0.259064,0.259351,0.259353,0.259418,0.260497,0.262207
United Kingdom,0.449857,0.452755,0.456267,0.460031,0.464176,0.46844,0.473684,0.48044,0.487665,0.494459,0.499484,0.503814,0.508367,0.512873,0.516996,0.520255,0.523895,0.528684,0.533491,0.53752,0.53972,0.540522,0.541501,0.542215,0.542871,0.543274,0.543352,0.543054
United States,0.468676,0.473575,0.47861,0.483539,0.488235,0.492368,0.496752,0.50156,0.506483,0.511072,0.514863,0.518306,0.52217,0.52613,0.529332,0.531157,0.532178,0.533067,0.533768,0.534175,0.534076,0.533199,0.531514,0.528946,0.52599,0.522109,0.517728,0.512844
United States Virgin Islands,0.341832,0.356847,0.371034,0.38267,0.393107,0.40044,0.404377,0.407227,0.409591,0.412757,0.417181,0.424428,0.435293,0.447385,0.458792,0.468562,0.477144,0.486541,0.495381,0.501095,0.503098,0.502178,0.50098,0.498897,0.495701,0.489832,0.482149,0.473119
Uruguay,0.322604,0.324928,0.326899,0.330078,0.331957,0.334111,0.336748,0.340337,0.343425,0.346286,0.347366,0.347004,0.345919,0.345006,0.344004,0.344193,0.345436,0.348731,0.35348,0.35912,0.363758,0.368551,0.374344,0.379651,0.385984,0.392488,0.398546,0.405502
Uzbekistan,0.130505,0.129608,0.128175,0.127241,0.1263,0.125377,0.124704,0.124233,0.123592,0.123103,0.122558,0.122921,0.123741,0.124782,0.125839,0.126952,0.128283,0.130128,0.132591,0.134998,0.137146,0.139249,0.141424,0.143985,0.146272,0.148898,0.151327,0.153735
Vanuatu,0.098813,0.099393,0.099501,0.099929,0.099986,0.100352,0.10062,0.100934,0.101161,0.101386,0.101454,0.101563,0.101277,0.101069,0.100827,0.100988,0.101068,0.102022,0.102559,0.10347,0.104303,0.104646,0.104608,0.104925,0.105502,0.105741,0.10613,0.106462
Venezuela,0.272052,0.271624,0.271216,0.270941,0.270595,0.270456,0.270111,0.268695,0.267267,0.266647,0.265819,0.265211,0.264135,0.263512,0.263144,0.262879,0.264239,0.268341,0.272949,0.277657,0.279424,0.280148,0.28096,0.281978,0.28196,0.282251,0.282376,0.28269
Vietnam,0.083484,0.08426,0.085277,0.086063,0.087393,0.088194,0.089382,0.090627,0.091866,0.093638,0.09531,0.096805,0.098532,0.100451,0.101796,0.103511,0.105386,0.107265,0.109161,0.111049,0.113015,0.115109,0.117147,0.119353,0.121583,0.123609,0.126256,0.128466
Wales,0.409563,0.412417,0.416556,0.420587,0.42474,0.428487,0.433285,0.439184,0.445831,0.452423,0.457765,0.463624,0.470157,0.476988,0.482381,0.486747,0.487719,0.489763,0.491397,0.492582,0.493399,0.493484,0.494554,0.495666,0.496754,0.497448,0.498985,0.499407
Western Europe,0.495201,0.49911,0.503046,0.506919,0.510332,0.513446,0.516684,0.520709,0.524996,0.52923,0.533074,0.536735,0.540921,0.544966,0.548814,0.552326,0.555458,0.559095,0.562895,0.565988,0.568433,0.570083,0.57145,0.572816,0.574132,0.57521,0.575355,0.575873
Western Sub-Saharan Africa,0.120713,0.119234,0.117842,0.11672,0.115894,0.115539,0.115262,0.115028,0.114925,0.114875,0.114892,0.115556,0.116748,0.118203,0.120043,0.121765,0.12366,0.125577,0.127832,0.129921,0.131519,0.133096,0.13477,0.136469,0.138116,0.139784,0.141193,0.142431
World,0.177865,0.178034,0.178218,0.178419,0.178688,0.178983,0.179485,0.180134,0.180911,0.181829,0.182665,0.183632,0.184887,0.186265,0.187741,0.189126,0.190702,0.192643,0.1948,0.196916,0.198731,0.200379,0.202116,0.203977,0.205833,0.207672,0.209525,0.211304
Yemen,0.119498,0.119241,0.119849,0.12008,0.120345,0.120678,0.12133,0.121968,0.122747,0.123808,0.124886,0.125934,0.127633,0.128668,0.130855,0.132356,0.134268,0.136381,0.138244,0.13961,0.140781,0.140421,0.139705,0.139149,0.13831,0.136973,0.135178,0.132623
Zambia,0.124028,0.122133,0.120776,0.119413,0.118186,0.117001,0.116266,0.115615,0.11493,0.114233,0.114317,0.114772,0.115395,0.116228,0.117239,0.118395,0.120024,0.122434,0.12447,0.126889,0.129023,0.13065,0.132962,0.134708,0.136878,0.139219,0.140713,0.142768
Zimbabwe,0.138791,0.139554,0.140228,0.14089,0.141514,0.141834,0.142153,0.142363,0.14217,0.142084,0.141898,0.140559,0.138497,0.135857,0.132543,0.12997,0.126681,0.123463,0.119728,0.117229,0.116347,0.116226,0.116789,0.117248,0.118073,0.11947,0.121456,0.124443
